season,round,pick,team,name,position,college,conference,day_of_birth,age,top_executive,link_ras,RAS,AllTime
2022,6,181,PHI,Kyron Johnson,LB,Kansas,Big 12,1998-07-24,24.11,Howie Roseman,http://RAS.football/ras-information/?PlayerID=21642,8.43,8.43
2022,6,182,NYG,Darrian Beavers,LB,Cincinnati,The American,1999-07-05,23.16,Joe Schoen,http://RAS.football/ras-information/?PlayerID=21058,9.6,9.6
2022,6,183,NE,Kevin Harris,RB,South Carolina,SEC,2000-11-17,21.79,Bill Belichick,http://RAS.football/ras-information/?PlayerID=21396,7.16,7.16
2022,6,184,MIN,Vederian Lowe,OT,Illinois,Big Ten,1999-04-17,23.38,Kwesi Adofo-Mensah,http://RAS.football/ras-information/?PlayerID=21166,5.72,5.72
2022,6,185,BUF,Christian Benford,CB,Villanova,CAA,2000-09-21,21.94,Brandon Beane,http://RAS.football/ras-information/?PlayerID=21541,8.15,8.15
2022,6,186,CHI,Zachary Thomas,OT,San Diego State,MW,1998-05-26,24.27,Ryan Poles,http://RAS.football/ras-information/?PlayerID=21637,8.97,8.97
2022,6,187,SF,Nick Zakelj,OT,Fordham,Patriot,1999-06-22,23.2,John Lynch,http://RAS.football/ras-information/?PlayerID=21175,9.85,9.85
2022,6,188,DET,Malcolm Rodriguez,LB,Oklahoma State,Big 12,1999-03-29,23.43,Brad Holmes,http://RAS.football/ras-information/?PlayerID=21316,9.48,9.48
2022,6,189,CAR,Amaré Barno,LB,Virginia Tech,ACC,1999-04-26,23.35,Scott Fitterer,http://RAS.football/ras-information/?PlayerID=20990,9.18,9.18
2022,6,190,ATL,Justin Shaffer,OG,Georgia,SEC,1998-06-20,24.2,Terry Fontenot,http://RAS.football/ras-information/?PlayerID=21045,7.52,7.52
2022,6,191,MIN,Jalen Nailor,WR,Michigan State,Big Ten,1999-03-02,23.5,Kwesi Adofo-Mensah,http://RAS.football/ras-information/?PlayerID=21442,8.1,8.1
2022,6,192,IND,Andrew Ogletree,TE,Youngstown State,MVFC,1998-07-28,24.1,Chris Ballard,http://RAS.football/ras-information/?PlayerID=21480,9.36,9.36
2022,6,193,DAL,Devin Harper,LB,Oklahoma State,Big 12,1998-05-13,24.3,Jerry Jones,http://RAS.football/ras-information/?PlayerID=21315,9.51,9.51
2022,6,194,NO,Jordan Jackson,DT,Air Force,MW,1998-01-30,24.59,Mickey Loomis,http://RAS.football/ras-information/?PlayerID=21656,9.14,9.14
2022,6,195,LAC,Jamaree Salyer,OG,Georgia,SEC,2000-07-13,22.14,Tom Telesco,http://RAS.football/ras-information/?PlayerID=21038,4.15,4.15
2022,6,196,BAL,Tyler Badie,RB,Missouri,SEC,2000-02-07,22.57,Eric DeCosta,http://RAS.football/ras-information/?PlayerID=21234,6.42,6.42
2022,6,197,JAX,Gregory Junior,CB,Ouachita Baptist,GAC,1999-06-21,23.2,Trent Baalke,http://RAS.football/ras-information/?PlayerID=21691,8.88,8.88
2022,6,198,PHI,Grant Calcaterra,TE,SMU,The American,1998-12-04,23.74,Howie Roseman,http://RAS.football/ras-information/?PlayerID=21116,8.17,8.17
2022,6,199,CAR,Cade Mays,OG,Tennessee,SEC,1999-04-26,23.35,Scott Fitterer,http://RAS.football/ras-information/?PlayerID=21425,7.54,7.54
2022,6,200,NE,Sam Roberts,DE,Northwest Missouri State,MIAA,1998-04-14,24.38,Bill Belichick,http://RAS.football/ras-information/?PlayerID=21535,7.03,7.03
2022,6,201,ARI,Keaontay Ingram,RB,USC,Pac-12,1999-10-26,22.85,Steve Keim,http://RAS.football/ras-information/?PlayerID=21579,8.69,8.69
2022,6,202,CLE,Michael Woods II,WR,Oklahoma,Big 12,2000-03-19,22.45,Andrew Berry,http://RAS.football/ras-information/?PlayerID=21665,7.65,7.65
2022,6,203,CHI,Trestan Ebner,RB,Baylor,Big 12,1999-01-02,23.66,Ryan Poles,http://RAS.football/ras-information/?PlayerID=21161,4.8,4.8
2022,6,204,TEN,Theo Jackson,S,Tennessee,SEC,1998-10-02,23.92,Jon Robinson,http://RAS.football/ras-information/?PlayerID=21335,7.64,7.64
2022,6,205,HOU,Austin Deculus,OT,LSU,SEC,1999-03-12,23.47,Nick Caserio,http://RAS.football/ras-information/?PlayerID=21165,8.24,8.24
2022,6,206,DEN,Matt Henningsen,DT,Wisconsin,Big Ten,1999-05-01,23.34,George Paton,http://RAS.football/ras-information/?PlayerID=21164,9.33,9.33
2022,6,207,CHI,Doug Kramer,C,Illinois,Big Ten,1998-06-04,24.24,Ryan Poles,http://RAS.football/ras-information/?PlayerID=21863,8.47,8.47
2022,6,208,PIT,Connor Heyward,FB,Michigan State,Big Ten,1999-01-22,23.61,Kevin Colbert,http://RAS.football/ras-information/?PlayerID=21091,4.59,4.59
2022,6,209,BUF,Luke Tenuta,OT,Virginia Tech,ACC,1999-09-01,23,Brandon Beane,http://RAS.football/ras-information/?PlayerID=21140,4.75,4.75
2022,6,210,NE,Chasen Hines,OG,LSU,SEC,2000-04-03,22.41,Bill Belichick,http://RAS.football/ras-information/?PlayerID=21466,6.57,6.57
2022,6,211,LA,Quentin Lake,S,UCLA,Pac-12,1999-01-29,23.59,Les Snead,http://RAS.football/ras-information/?PlayerID=21408,NA,NA
2022,6,212,LA,Derion Kendrick,CB,Georgia,SEC,2000-08-24,22.02,Les Snead,http://RAS.football/ras-information/?PlayerID=21044,1.53,1.53
2022,6,213,ATL,John Fitzpatrick,TE,Georgia,SEC,2000-03-09,22.48,Terry Fontenot,http://RAS.football/ras-information/?PlayerID=21616,NA,NA
2022,6,214,LAC,Ja'Sir Taylor,CB,Wake Forest,ACC,1999-01-08,23.65,Tom Telesco,http://RAS.football/ras-information/?PlayerID=21163,8.31,8.31
2022,6,215,ARI,Lecitus Smith,OG,Virginia Tech,ACC,1998-07-13,24.14,Steve Keim,http://RAS.football/ras-information/?PlayerID=20975,6.53,6.53
2022,6,216,IND,Curtis Brooks,DT,Cincinnati,The American,1998-02-06,24.57,Chris Ballard,http://RAS.football/ras-information/?PlayerID=22149,9.51,9.51
2022,6,217,DET,James Houston IV,LB,Jackson State,SWAC,1998-11-16,23.79,Brad Holmes,http://RAS.football/ras-information/?PlayerID=21406,7.93,7.93
